"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상"
"서울특별시 광진구 (1121500000)","342,111","342,111","18,440","25,210","62,278","55,017","51,196","53,799","43,682","22,043","9,169","1,204","73"
"서울특별시 광진구 화양동(1121571000)","22,962","22,962","377","717","9,959","4,474","2,156","2,065","1,731","1,011","416","53","3"
"서울특별시 광진구 군자동(1121573000)","19,745","19,745","847","986","4,517","3,608","2,560","2,835","2,444","1,337","548","60","3"
"서울특별시 광진구 중곡제1동(1121574000)","15,575","15,575","718","722","2,848","2,950","2,112","2,464","2,166","1,135","406","52","2"
"서울특별시 광진구 중곡제2동(1121575000)","21,638","21,638","1,113","1,355","3,827","3,885","2,967","3,503","2,951","1,459","507","69","2"
"서울특별시 광진구 중곡제3동(1121576000)","16,314","16,314","718","914","2,644","2,666","2,223","2,878","2,426","1,280","498","61","6"
"서울특별시 광진구 중곡제4동(1121577000)","28,873","28,873","1,368","1,870","4,383","4,267","4,045","5,237","4,522","2,278","793","98","12"
"서울특별시 광진구 능동(1121578000)","11,410","11,410","522","531","2,352","2,594","1,624","1,430","1,276","747","295","37","2"
"서울특별시 광진구 광장동(1121581000)","34,964","34,964","3,080","5,468","4,066","3,654","7,538","5,592","3,134","1,442","840","145","5"
"서울특별시 광진구 자양제1동(1121582000)","22,518","22,518","928","1,493","4,324","3,714","3,360","3,561","2,906","1,518","637","76","1"
"서울특별시 광진구 자양제2동(1121583000)","25,024","25,024","1,550","1,821","3,736","3,773","3,910","4,148","3,743","1,637","615","87","4"
"서울특별시 광진구 자양제3동(1121584000)","28,295","28,295","2,226","2,589","3,857","4,186","4,513","4,641","3,633","1,624","890","131","5"
"서울특별시 광진구 자양제4동(1121584700)","17,458","17,458","660","852","2,757","2,568","2,319","3,012","3,020","1,580","618","70","2"
"서울특별시 광진구 구의제1동(1121585000)","21,783","21,783","802","1,108","4,742","4,303","3,155","3,104","2,521","1,386","580","66","16"
"서울특별시 광진구 구의제2동(1121586000)","26,661","26,661","1,714","2,325","3,687","3,762","4,275","4,515","3,604","1,912","769","93","5"
"서울특별시 광진구 구의제3동(1121587000)","28,891","28,891","1,817","2,459","4,579","4,613","4,439","4,814","3,605","1,697","757","106","5"
"서울특별시 동대문구 (1123000000)","337,946","337,946","19,912","23,134","56,185","49,206","49,362","52,264","47,136","27,478","11,751","1,439","79"
"서울특별시 동대문구 용신동(1123053600)","30,992","30,992","1,208","1,396","6,164","5,463","4,119","4,606","4,266","2,497","1,141","127","5"
"서울특별시 동대문구 제기동(1123054500)","24,660","24,660","993","1,359","4,448","3,198","2,993","3,788","3,955","2,580","1,194","143","9"
"서울특별시 동대문구 전농제1동(1123056000)","29,459","29,459","1,828","1,839","4,579","4,160","4,269","4,831","4,266","2,478","1,080","122","7"
"서울특별시 동대문구 전농제2동(1123057000)","18,784","18,784","1,185","1,710","2,238","2,229","2,999","3,207","2,787","1,575","774","77","3"
"서울특별시 동대문구 답십리제1동(1123060000)","29,073","29,073","2,690","1,976","4,191","5,187","4,767","4,237","3,360","1,757","803","96","9"
"서울특별시 동대문구 답십리제2동(1123061000)","28,711","28,711","1,808","1,912","3,692","4,436","4,087","4,857","4,314","2,438","1,046","118","3"
"서울특별시 동대문구 장안제1동(1123065000)","38,290","38,290","2,447","2,616","5,265","6,282","6,204","5,955","5,500","2,882","997","132","10"
"서울특별시 동대문구 장안제2동(1123066000)","32,615","32,615","2,749","2,819","3,818","4,966","5,742","4,964","4,375","2,260","804","109","9"
"서울특별시 동대문구 청량리동(1123070500)","19,042","19,042","732","1,052","2,196","2,144","2,398","3,239","3,806","2,334","1,006","130","5"
"서울특별시 동대문구 회기동(1123071000)","10,442","10,442","418","699","3,279","1,481","1,284","1,213","983","675","358","51","1"
"서울특별시 동대문구 휘경제1동(1123072000)","13,658","13,658","797","785","3,434","2,120","1,656","1,927","1,547","921","416","52","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,117","24,117","1,171","2,020","5,404","2,928","3,427","3,515","3,009","1,806","735","99","3"
"서울특별시 동대문구 이문제1동(1123074000)","17,980","17,980","675","1,213","4,694","2,123","2,312","2,563","2,171","1,450","685","89","5"
"서울특별시 동대문구 이문제2동(1123075000)","20,123","20,123","1,211","1,738","2,783","2,489","3,105","3,362","2,797","1,825","712","94","7"
"서울특별시 중랑구 (1126000000)","389,428","389,428","21,951","25,836","55,309","56,942","56,286","68,060","59,980","31,174","12,214","1,597","79"
"서울특별시 중랑구 면목제2동(1126052000)","24,311","24,311","1,190","1,544","3,292","3,222","3,586","4,805","3,751","2,047","758","112","4"
"서울특별시 중랑구 면목제4동(1126054000)","19,231","19,231","1,055","1,208","2,516","2,713","2,945","3,321","2,999","1,819","581","70","4"
"서울특별시 중랑구 면목제5동(1126055000)","14,704","14,704","1,356","894","1,775","2,658","2,251","2,442","1,956","978","359","34","1"
"서울특별시 중랑구 면목본동(1126056500)","33,943","33,943","1,478","1,843","5,329","5,227","4,887","6,220","5,070","2,747","1,037","102","3"
