,광역시도,시군구,구분,인구수,20~39세,65세이상
360,경기도, 수지구,계,369842,97248,46884
361,경기도, 수지구,남자,180430,47435,20864
362,경기도, 수지구,여자,189413,49813,26022
363,경기도, 파주시,계,456020,122866,61841
364,경기도, 파주시,남자,231388,65041,26601
365,경기도, 파주시,여자,224633,57826,35242
366,경기도, 이천시,계,215668,59856,29862
367,경기도, 이천시,남자,111336,32837,13274
368,경기도, 이천시,여자,104332,27020,16588
369,경기도, 안성시,계,183828,45116,31515
370,경기도, 안성시,남자,94565,24681,13787
371,경기도, 안성시,여자,89264,20437,17730
372,경기도, 김포시,계,453048,123044,54750
373,경기도, 김포시,남자,227223,61783,24513
374,경기도, 김포시,여자,225825,61263,30238
375,경기도, 화성시,계,832227,250612,72273
376,경기도, 화성시,남자,431380,132069,32394
377,경기도, 화성시,여자,400847,118544,39879
378,경기도, 광주시,계,374979,102920,48272
379,경기도, 광주시,남자,191766,53982,22474
380,경기도, 광주시,여자,183213,48938,25798
381,경기도, 양주시,계,224618,54362,34524
382,경기도, 양주시,남자,113922,28601,15438
383,경기도, 양주시,여자,110697,25761,19089
384,경기도, 포천시,계,146290,32429,28098
385,경기도, 포천시,남자,77250,18357,12692
386,경기도, 포천시,여자,69040,14073,15408
387,경기도, 여주시,계,110689,23752,23545
388,경기도, 여주시,남자,56211,12742,10634
389,경기도, 여주시,여자,54478,11011,12912
390,경기도, 연천군,계,43105,9636,11047
391,경기도, 연천군,남자,22618,5819,4832
392,경기도, 연천군,여자,20487,3819,6216
393,경기도, 가평군,계,61675,11954,15645
394,경기도, 가평군,남자,31742,6642,7137
395,경기도, 가평군,여자,29934,5313,8508
396,경기도, 양평군,계,116778,21352,29181
397,경기도, 양평군,남자,58625,11250,13403
398,경기도, 양평군,여자,58153,10102,15779
402,강원도, 춘천시,계,279745,71296,48578
403,강원도, 춘천시,남자,137994,37087,20650
404,강원도, 춘천시,여자,141751,34211,27929
405,강원도, 원주시,계,349361,90119,51187
406,강원도, 원주시,남자,173416,46821,21877
407,강원도, 원주시,여자,175946,43299,29312
408,강원도, 강릉시,계,211643,47006,43830
409,강원도, 강릉시,남자,105025,25199,18604
410,강원도, 강릉시,여자,106618,21807,25227
411,강원도, 동해시,계,89814,18727,17572
412,강원도, 동해시,남자,45572,10469,7624
413,강원도, 동해시,여자,44242,8258,9949
414,강원도, 태백시,계,42288,7685,10034
415,강원도, 태백시,남자,21395,4203,4276
416,강원도, 태백시,여자,20894,3482,5759
417,강원도, 속초시,계,81497,18080,15170
418,강원도, 속초시,남자,40312,9909,6345
419,강원도, 속초시,여자,41185,8171,8826
420,강원도, 삼척시,계,65623,13583,16077
421,강원도, 삼척시,남자,33275,7469,6766
422,강원도, 삼척시,여자,32348,6117,9311
423,강원도, 홍천군,계,68652,12874,17500
424,강원도, 홍천군,남자,35274,7362,7897
425,강원도, 홍천군,여자,33379,5513,9603
426,강원도, 횡성군,계,46150,7436,13230
427,강원도, 횡성군,남자,23624,4067,6052
428,강원도, 횡성군,여자,22526,3369,7179
429,강원도, 영월군,계,38345,6203,11051
430,강원도, 영월군,남자,19824,3493,4877
431,강원도, 영월군,여자,18521,2712,6175
432,강원도, 평창군,계,41489,6654,11392
433,강원도, 평창군,남자,21255,3730,5066
434,강원도, 평창군,여자,20235,2925,6328
435,강원도, 정선군,계,36313,6046,9750
436,강원도, 정선군,남자,18912,3430,4245
437,강원도, 정선군,여자,17402,2617,5506
438,강원도, 철원군,계,44768,10704,9872
439,강원도, 철원군,남자,23342,6498,4176
440,강원도, 철원군,여자,21426,4206,5697
441,강원도, 화천군,계,24704,6754,5404
442,강원도, 화천군,남자,13401,4372,2349
443,강원도, 화천군,여자,11303,2382,3055
444,강원도, 양구군,계,22379,5816,4558
445,강원도, 양구군,남자,11903,3611,1970
446,강원도, 양구군,여자,10477,2207,2589
447,강원도, 인제군,계,31502,8018,6300
448,강원도, 인제군,남자,17042,4963,2846
449,강원도, 인제군,여자,14461,3057,3457
450,강원도, 고성군,계,26792,5217,7755
451,강원도, 고성군,남자,13864,3175,3237
452,강원도, 고성군,여자,12928,2042,4519
453,강원도, 양양군,계,27628,4740,8083
454,강원도, 양양군,남자,14057,2678,3524
455,강원도, 양양군,여자,13571,2064,4559
462,충청북도, 상당구,계,183083,45413,28094
463,충청북도, 상당구,남자,91044,23876,12031
464,충청북도, 상당구,여자,92040,21537,16066
465,충청북도, 서원구,계,197773,52446,28508
466,충청북도, 서원구,남자,98076,27705,12140
467,충청북도, 서원구,여자,99698,24741,16369
468,충청북도, 흥덕구,계,262632,81443,28478
469,충청북도, 흥덕구,남자,133185,43471,12312
470,충청북도, 흥덕구,여자,129448,37975,16167
471,충청북도, 청원구,계,194256,58449,23978
472,충청북도, 청원구,남자,99503,31789,10174
473,충청북도, 청원구,여자,94754,26661,13805
474,충청북도, 충주시,계,209084,47962,40566
475,충청북도, 충주시,남자,105733,26670,17253
476,충청북도, 충주시,여자,103351,21293,23314
477,충청북도, 제천시,계,132883,28234,28247
478,충청북도, 제천시,남자,66629,15216,12432
479,충청북도, 제천시,여자,66254,13018,15816
480,충청북도, 보은군,계,32403,4706,10967
481,충청북도, 보은군,남자,16307,2660,4593
482,충청북도, 보은군,여자,16096,2047,6374
483,충청북도, 옥천군,계,50381,8472,14710
484,충청북도, 옥천군,남자,25424,4635,6343
485,충청북도, 옥천군,여자,24958,3839,8368
486,충청북도, 영동군,계,47737,8038,14708
487,충청북도, 영동군,남자,23732,4375,6193
488,충청북도, 영동군,여자,24005,3663,8515
489,충청북도, 진천군,계,81958,20447,13290
490,충청북도, 진천군,남자,42893,11435,5665
491,충청북도, 진천군,여자,39065,9013,7625
492,충청북도, 괴산군,계,38968,6048,12747
493,충청북도, 괴산군,남자,19995,3483,5542
494,충청북도, 괴산군,여자,18974,2567,7206
495,충청북도, 음성군,계,93181,19630,19252
496,충청북도, 음성군,남자,49273,11185,8523
497,충청북도, 음성군,여자,43908,8445,10729
498,충청북도, 단양군,계,29143,4411,8752
499,충청북도, 단양군,남자,14783,2480,3802
500,충청북도, 단양군,여자,14361,1931,4951
501,충청북도, 증평군,계,36893,9381,6236
502,충청북도, 증평군,남자,19130,5305,2675
503,충청북도, 증평군,여자,17763,4077,3562
510,충청남도, 동남구,계,256758,69089,35681
511,충청남도, 동남구,남자,130013,36401,15639
512,충청남도, 동남구,여자,126745,32688,20042
513,충청남도, 서북구,계,394727,131984,33268
514,충청남도, 서북구,남자,201935,69582,14311
515,충청남도, 서북구,여자,192792,62402,18957
516,충청남도, 공주시,계,104677,21344,26790
517,충청남도, 공주시,남자,52455,11601,11590
518,충청남도, 공주시,여자,52222,9744,15202
519,충청남도, 보령시,계,99853,19330,25346
520,충청남도, 보령시,남자,50593,10888,10743
521,충청남도, 보령시,여자,49260,8443,14604
522,충청남도, 아산시,계,313250,85688,40747
523,충청남도, 아산시,남자,162307,46355,17345
524,충청남도, 아산시,여자,150943,39333,23404
525,충청남도, 서산시,계,174315,41640,31571
526,충청남도, 서산시,남자,90479,23634,13666
527,충청남도, 서산시,여자,83837,18008,17907
528,충청남도, 논산시,계,116626,22593,30245
529,충청남도, 논산시,남자,58349,12305,12768
530,충청남도, 논산시,여자,58277,10290,17477
531,충청남도, 계룡시,계,42707,9618,4911
532,충청남도, 계룡시,남자,21244,5057,2103
533,충청남도, 계룡시,여자,21463,4561,2810
534,충청남도, 당진시,계,165750,39714,30399
535,충청남도, 당진시,남자,87808,22741,13307
536,충청남도, 당진시,여자,77942,16973,17093
537,충청남도, 금산군,계,51373,8019,15693
538,충청남도, 금산군,남자,25903,4415,6665
539,충청남도, 금산군,여자,25471,3606,9028
540,충청남도, 부여군,계,65431,10100,22164
